,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
204861,3249760000654,Orangina,en:FR,e,Beverages,Sweetened beverages,176.0,9.8,13.0
204862,3249760011063,Orangina,en:FR,e,Beverages,Sweetened beverages,176.0,9.8,13.0
204863,3249760011148,Boisson gazeuse Orangina,en:FR,e,Beverages,Sweetened beverages,176.0,9.8,13.0
204865,3249760011902,Orangina et sa pulpe,en:FR,e,Beverages,Sweetened beverages,176.0,10.0,13.0
204867,3249760017096,Orangina rouge,en:FR,e,Beverages,Sweetened beverages,182.0,9.9,14.0
204871,3249760702015,Orangina,en:FR,e,Beverages,Sweetened beverages,179.0,10.2,13.0
204891,3250390000662,Fraise,en:FR,d,Sugary snacks,Sweets,1017.0,52.2,12.0
204918,3250390001287,100% pur jus d'orange ,en:FR,c,Beverages,Fruit juices,187.0,10.0,4.0
204921,3250390001492,Sirop Citron,en:FR,e,Beverages,Sweetened beverages,1460.0,70.0,20.0
204922,3250390001508,Sirop menthe,en:FR,e,Beverages,Sweetened beverages,150.0,8.8,11.0
204924,3250390001546,Sirop de framboise,en:FR,d,Beverages,Sweetened beverages,1339.0,78.0,13.0
204926,3250390001560,Sirop cassis,en:FR,e,Beverages,Sweetened beverages,1372.0,80.0,20.0
204930,3250390001607,Sirop de grenadine,en:FR,e,Beverages,Sweetened beverages,1376.0,77.6,20.0
204931,3250390001614,jus de citron,en:FR,b,Beverages,Fruit juices,71.0,1.0,0.0
204933,3250390001829,Cookies Nougat' Choc,en:FR,e,Sugary snacks,Biscuits and cakes,2117.0,27.8,24.0
204981,3250390003977,Tableau d'Honneur chocolat noir,en:FR,e,Sugary snacks,Biscuits and cakes,2055.0,33.3,21.0
204982,3250390003991,Langues de Chat,en:FR,d,Sugary snacks,Biscuits and cakes,1834.0,42.7,18.0
204998,3250390005506,Sirop grenadine,en:FR,e,Beverages,Sweetened beverages,1250.0,73.0,20.0
204999,3250390005513,Sirop Menthe,en:FR,e,Beverages,Sweetened beverages,1199.0,70.5,20.0
205002,3250390005681,Sirop de cassis,en:FR,e,Beverages,Sweetened beverages,1517.0,82.4,20.0
205005,3250390005773,Galettes bretonnes pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2012.0,25.7,22.0
205009,3250390006244,Look Tonic Pet,en:FR,e,Beverages,Sweetened beverages,155.0,9.0,12.0
205010,3250390006312,Look Limonade à l'eau de source,en:FR,e,Beverages,Sweetened beverages,136.0,8.0,11.0
205026,3250390008347,Noir extra - Gourmand & Croquant,en:FR,e,Sugary snacks,Chocolate products,2128.0,51.0,21.0
205028,3250390008361,lait noisettes entières,en:FR,e,Sugary snacks,Chocolate products,2370.0,44.5,26.0
205035,3250390009153,Dessert Chocolat noir Ivoria,en:FR,e,Sugary snacks,Chocolate products,2096.0,52.0,26.0
205041,3250390009344,Sweet,en:FR,d,Sugary snacks,Biscuits and cakes,1550.0,56.6,16.0
205051,3250390009573,Goûter Crok,en:FR,d,Sugary snacks,Biscuits and cakes,1996.0,30.7,18.0
205069,3250390010821,Quatre Quarts pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,1799.0,27.0,25.0
205105,3250390012931,Madeleines Longues,en:FR,d,Sugary snacks,Biscuits and cakes,1672.0,26.2,12.0
205164,3250390050933,Look Cola,en:FR,e,Beverages,Sweetened beverages,179.0,10.5,13.0
205169,3250390051138,Nectar d'orange à base de jus d'orange concentré,en:FR,e,Beverages,Fruit nectars,192.0,9.5,14.0
205177,3250390100201,Corn Flakes,en:FR,c,Cereals and potatoes,Breakfast cereals,1592.0,6.2,8.0
205192,3250390102625,Ivoria Dégustation Noir,en:FR,d,Sugary snacks,Chocolate products,2355.0,26.3,17.0
205209,3250390104643,Caofret,en:FR,e,Sugary snacks,Biscuits and cakes,2226.0,37.0,20.0
205213,3250390104957,"Orange, citron, pamplemousse",en:FR,c,Sugary snacks,Sweets,550.0,28.0,6.0
205214,3250390104988,"Confiture fraise, griottes, groseilles ",en:FR,c,Sugary snacks,Sweets,526.0,27.0,3.0
205218,3250390105237,Gelée de groseille ,en:FR,d,Sugary snacks,Sweets,1048.0,57.7,13.0
205220,3250390105435,Gelée mûres ,en:FR,d,Sugary snacks,Sweets,1048.0,57.7,12.0
205221,3250390105442,Confiture Myrtilles Sauvages,en:FR,d,Sugary snacks,Sweets,1065.0,61.5,12.0
205226,3250390106647,Petit Complet,en:FR,d,Sugary snacks,Biscuits and cakes,1870.0,16.7,16.0
205237,3250390109174,Palets breton pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2160.0,23.0,22.0
205244,3250390111030,Sweet,en:FR,d,Sugary snacks,Biscuits and cakes,1523.0,59.5,15.0
205248,3250390111337,Confiture abricots,en:FR,d,Sugary snacks,Sweets,1042.0,57.4,12.0
205249,3250390111344,Confiture Fraises,en:FR,d,Sugary snacks,Sweets,1063.0,60.0,12.0
205261,3250390114161,Noikao,en:FR,e,Sugary snacks,Sweets,2237.0,59.4,26.0
205262,3250390114178,Noikao,en:FR,e,Sugary snacks,Sweets,2244.0,53.4,19.0
205263,3250390114185,Confiture extra de figues,en:FR,d,Sugary snacks,Sweets,1030.0,58.8,12.0
205270,3250390115236,Tchokao,en:FR,d,Sugary snacks,Chocolate products,1613.0,78.6,16.0
205292,3250390119951,Kassoa pocket chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2093.0,32.5,21.0
205296,3250390121381,Tableau d'honneur chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2074.0,36.0,23.0
205299,3250390134671, Confiture allégée abricot ,en:FR,c,Sugary snacks,Sweets,696.0,40.0,9.0
205300,3250390134688,Confiture de Fraise Allégée,en:FR,c,Sugary snacks,Sweets,705.0,38.7,9.0
205301,3250390134701,Spécialité Diététique au Fructose Fraise,en:FR,c,Sugary snacks,Sweets,610.0,33.6,7.0
205309,3250390138563,Confiture Mûres,en:FR,d,Sugary snacks,Sweets,1048.0,57.9,12.0
205310,3250390138631,Confiture framboises,en:FR,d,Sugary snacks,Sweets,1059.0,57.9,12.0
205315,3250390139829,Quatre quarts pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,1799.0,27.0,25.0
205318,3250390145561,Tableau d'honneur chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2074.0,36.0,23.0
205329,3250390148241,Cookies pécan choco,en:FR,e,Sugary snacks,Biscuits and cakes,2016.0,27.7,19.0
205359,3250390165477,Lait Amandes Caramélisées à la Fleur de Sel,en:FR,e,Sugary snacks,Chocolate products,2356.0,44.0,28.0
205360,3250390165484,Chocolat Noir aux écorces d'orange confites,en:FR,e,Sugary snacks,Chocolate products,2140.0,46.5,21.0
205383,3250390176848,Sweet Cerise,en:FR,e,Sugary snacks,Biscuits and cakes,1573.0,55.5,19.0
205389,3250390183945,Génoise Framboise,en:FR,e,Sugary snacks,Biscuits and cakes,1573.0,54.4,19.0
205390,3250390183976,Galettes bretonnes pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2033.0,24.2,25.0
205398,3250390193142,Sirop Pêche,en:FR,e,Beverages,Sweetened beverages,1381.0,80.0,20.0
205403,3250390194620,Dégustation NOIR,en:FR,e,Sugary snacks,Chocolate products,2375.0,24.7,22.0
205415,3250390198987,Dégustation Noir aux éclats de fèves de cacao,en:FR,e,Sugary snacks,Chocolate products,2340.0,36.0,23.0
205416,3250390200871,Kanoë Abricot,en:FR,d,Sugary snacks,Biscuits and cakes,1524.0,51.2,14.0
205442,3250390218975,Sucre de canne liquide,en:FR,d,Sugary snacks,Sweets,1460.0,82.5,14.0
205451,3250390232254,Palmiers,en:FR,e,Sugary snacks,Biscuits and cakes,2203.0,17.2,22.0
205464,3250390256090,Glace vanille rhum raisins,en:FR,d,Milk and dairy products,Ice cream,1191.0,24.1,18.0
205470,3250390258957,Nectar multifruits ,en:FR,d,Beverages,Fruit nectars,145.0,8.0,7.0
205478,3250390268529,Look Tropical,en:FR,e,Beverages,Sweetened beverages,153.0,9.0,12.0
205480,3250390268642,Chocolat Lait Amandes Entières,en:FR,e,Sugary snacks,Chocolate products,2372.0,43.0,26.0
205483,3250390272175,Choko bille,en:FR,c,Cereals and potatoes,Breakfast cereals,1633.0,29.8,7.0
205487,3250390277460,Chabrior Forme & Nature,en:FR,b,Cereals and potatoes,Breakfast cereals,1598.0,17.1,1.0
205498,3250390289289,Tuiles aux Amandes,en:FR,e,Sugary snacks,Biscuits and cakes,1984.0,41.0,19.0
205500,3250390294726,100% pur jus pressé Multifruit,en:FR,d,Beverages,Fruit juices,213.0,11.5,6.0
205519,3250390313403,Truffé Noir,en:FR,e,Sugary snacks,Chocolate products,2445.0,44.5,21.0
205540,3250390323518,Muesli CRISP 4 Fruits,en:FR,d,Cereals and potatoes,Breakfast cereals,1882.0,27.7,14.0
205554,3250390331544,Cookies tout choco,en:FR,e,Sugary snacks,Biscuits and cakes,2075.0,32.3,28.0
205586,3250390383437,Les Créations - Les Florentins,en:FR,e,Sugary snacks,Biscuits and cakes,2240.0,44.1,24.0
205587,3250390383574,Palmiers feuilletés,en:FR,e,Sugary snacks,Biscuits and cakes,2209.0,20.0,23.0
205589,3250390387244,Muesli croustillant au chocolat,en:FR,d,Cereals and potatoes,Breakfast cereals,1992.0,29.0,17.0
205595,3250390393443,Multifruits,en:FR,c,Beverages,Fruit juices,201.0,10.5,4.0
